,Name,Rate,Address,Country,Pos Code,State,URL,Username,User Location,User Contribution,User Helpful Vote,Comment,User Response Date,Date Of Stay,User Traveller Type
10,Kampar Boutique Hotel,0.0,"Lot 553, Jalan Baru, Taman Tasik Emas",Malaysia,31900,Kampar,https://www.tripadvisor.com.my/Hotel_Review-g3522152-d13803157-Reviews-Kampar_Boutique_Hotel-Kampar_Kampar_District_Perak.html,flytheworld1,London,132,21,Hotel is situated along a row of newly built shop houses. Other shops are still closed therefore plenty of free parking spaces around the hotel. There are currently no food stalls within walking distance.Wifi only available on ground floor. Floor tiles are slippery in the lobby. Overall an alright hotel now that it is still newly opened.,Mar 2017,January 2017,Families
11,Kampar Boutique Hotel,4.0,"No 23, 25 & 27 Laluan Batu Sinar 2",Malaysia,31900,Kampar,https://www.tripadvisor.com.my/Hotel_Review-g3522152-d12099624-Reviews-Kampar_Boutique_Hotel-Kampar_Kampar_District_Perak.html,None,None,None,None,None,None,None,None
12,Kampar Boutique Hotel,4.0,"No 23, 25 & 27 Laluan Batu Sinar 2",Malaysia,31900,Kampar,https://www.tripadvisor.com.my/Hotel_Review-g3522152-d12099624-Reviews-Kampar_Boutique_Hotel-Kampar_Kampar_District_Perak.html,hakimamir,"Petaling Jaya, Malaysia",114,26,"Stayed a night as I was taking part in the Kampar Majesty Ride event the morning after. RM100 for a queen size bed is about alright for me, although no small fridge or free coffee/tea sachets available. Cant complain much. Location wise is good as very nearby to the vibrant Kampar new township with many shops and restaurants. This hotel has good potential to be an even better hotel than it is now.",Jul 2019,July 2019,Solo
13,Kampar Boutique Hotel,4.0,"No 23, 25 & 27 Laluan Batu Sinar 2",Malaysia,31900,Kampar,https://www.tripadvisor.com.my/Hotel_Review-g3522152-d12099624-Reviews-Kampar_Boutique_Hotel-Kampar_Kampar_District_Perak.html,SS Tan,"Kuala Lumpur, Malaysia",106,7,"The hotel room price is reasonable as compared to other hotel in the surrounding area. Hotel room is big, clean and surprisingly quite (as I came out from the lift I hear children crying but when I when in to the room there are no crying sound - which is a plus point). But one would need to drive out for food as there are no restaurant nearby. Nonetheless, it only take bout 1KM drive to nearby KFC/McD and other F&B shop. There is only 1 complaint (if there is any) as the front desk only officially open from 7am-7pm, to go in & out of the hotel will be a little bit troublesome. They indicate that the room access card can open the front door but its not working. Nonetheless, they have a worker around the lobby area so you need to press the bell & hope that the staff is around to open the door for you.",Mar 2019,March 2019,Solo
14,Kampar Boutique Hotel,4.0,"No 23, 25 & 27 Laluan Batu Sinar 2",Malaysia,31900,Kampar,https://www.tripadvisor.com.my/Hotel_Review-g3522152-d12099624-Reviews-Kampar_Boutique_Hotel-Kampar_Kampar_District_Perak.html,wym6977,"Kuala Lumpur, Malaysia",11,7,"Booked a double queen room for my family of five...the room is spacious and come with one sofa (big enough for my kid to sleep on..). Overall pleasant stay, clean room and good WIFI! Only issue is the door close bang too load so might disturb your sleep at night..",Dec 2019,December 2019,None
15,Kampar Boutique Hotel,4.0,"No 23, 25 & 27 Laluan Batu Sinar 2",Malaysia,31900,Kampar,https://www.tripadvisor.com.my/Hotel_Review-g3522152-d12099624-Reviews-Kampar_Boutique_Hotel-Kampar_Kampar_District_Perak.html,emiesuhaily,"Penang Island, Malaysia",2,0,The price is value for money...The room is clean...toilet is very clean..lobby area is comfortable..Location is specific and easy to find..lot of car parking space..staff is friendly..overall..the hotel is worth to stay n value for money..,Dec 2018,December 2018,Families
16,Kampar Boutique Hotel,4.0,"No 23, 25 & 27 Laluan Batu Sinar 2",Malaysia,31900,Kampar,https://www.tripadvisor.com.my/Hotel_Review-g3522152-d12099624-Reviews-Kampar_Boutique_Hotel-Kampar_Kampar_District_Perak.html,cariechian,"Singapore, Singapore",2,0,There was some cleanliness issue with one of the rooms.Tiny roaches were spotted around the tea table. We were concerned and contacted the front desk. Staff was not able to resolve the issue hence they did a room change for us.The second room that we had was clean and had no cleanliness issue.Overall great service and action from the staff. But housekeeping work is to be improved.,Nov 2018,November 2018,Families
17,Kampar Boutique Hotel,4.0,"No 23, 25 & 27 Laluan Batu Sinar 2",Malaysia,31900,Kampar,https://www.tripadvisor.com.my/Hotel_Review-g3522152-d12099624-Reviews-Kampar_Boutique_Hotel-Kampar_Kampar_District_Perak.html,WanderedBoy,No Country,7,3,"I've been in Kampar for a wedding photoshoot. I stay at this Kampar Boutique Hotel for a night. Its a good place to stay. The room is clean and neat. The complimentary is enough since you get soap, shampoo, and toothbrush for the nights you stay there. Overall its a really good place to stay!",Aug 2018,March 2018,Business
18,Kampar Boutique Hotel,4.0,"No 23, 25 & 27 Laluan Batu Sinar 2",Malaysia,31900,Kampar,https://www.tripadvisor.com.my/Hotel_Review-g3522152-d12099624-Reviews-Kampar_Boutique_Hotel-Kampar_Kampar_District_Perak.html,Amirizzuan,"Kuala Lumpur, Malaysia",22,18,"It's a nice 2 night stay during Raya, because my aunt's place is full with my cousins. It's a nice hotel, with full amnesties. Just that, if you stayed in the one in the Kampar town center, the parking is a bit problematic because it's next to a cinema, so, the parking is always full thus you have to park further away from the hotel building, perhaps on the next 1 or 2 blocks.",Sep 2018,June 2018,None
19,Kampar Boutique Hotel,4.0,"No 23, 25 & 27 Laluan Batu Sinar 2",Malaysia,31900,Kampar,https://www.tripadvisor.com.my/Hotel_Review-g3522152-d12099624-Reviews-Kampar_Boutique_Hotel-Kampar_Kampar_District_Perak.html,flytheworld1,London,132,21,Hotel is situated along a row of newly built shop houses. Other shops are still closed therefore plenty of free parking spaces around the hotel. There are currently no food stalls within walking distance.Wifi only available on ground floor. Floor tiles are slippery in the lobby. Overall an alright hotel now that it is still newly opened.,Mar 2017,January 2017,Families
20,Hotel Fully Well Kampar,0.0,71 Jalan Idris,Malaysia,31900,Kampar,https://www.tripadvisor.com.my/Hotel_Review-g3522152-d18206496-Reviews-Hotel_Fully_Well_Kampar-Kampar_Kampar_District_Perak.html,None,None,None,None,None,None,None,None
21,The Meadow Park,0.0,Off Persiaran Agacia 1 Bandar Agacia,Malaysia,31910,Kampar,https://www.tripadvisor.com.my/Hotel_Review-g3522152-d15357763-Reviews-The_Meadow_Park-Kampar_Kampar_District_Perak.html,None,None,None,None,None,None,None,None
22,The Meadow Park,0.0,Off Persiaran Agacia 1 Bandar Agacia,Malaysia,31910,Kampar,https://www.tripadvisor.com.my/Hotel_Review-g3522152-d15357763-Reviews-The_Meadow_Park-Kampar_Kampar_District_Perak.html,None,None,None,None,None,None,None,None
23,The Meadow Park,0.0,Lorong Makmur 11B,Malaysia,31910,Kampar,https://www.tripadvisor.com.my/Hotel_Review-g3522152-d19700228-Reviews-The_Meadow_Park-Kampar_Kampar_District_Perak.html,None,None,None,None,None,None,None,None
24,The Meadow Park,0.0,Lorong Makmur 11B,Malaysia,31910,Kampar,https://www.tripadvisor.com.my/Hotel_Review-g3522152-d19700228-Reviews-The_Meadow_Park-Kampar_Kampar_District_Perak.html,None,None,None,None,None,None,None,None
25,OYO 90054 Summer Inn,0.0,"1-G, Pusat Perdagangan Kampar Barat, Jalan Kampar Barat 1",Malaysia,31900,Kampar,https://www.tripadvisor.com.my/Hotel_Review-g3522152-d21249393-Reviews-OYO_90054_Summer_Inn-Kampar_Kampar_District_Perak.html,None,None,None,None,None,None,None,None
26,Summer Inn,0.0,"11-1-1, Pusat Perdagangan Jalan Kampar Barat 1",Malaysia,31900,Kampar,https://www.tripadvisor.com.my/Hotel_Review-g3522152-d19983854-Reviews-Summer_Inn-Kampar_Kampar_District_Perak.html,None,None,None,None,None,None,None,None
27,The Trails Of Kampar,0.0,"Persiaran Residensi, Bandar Agacia",Malaysia,31910,Kampar,https://www.tripadvisor.com.my/Hotel_Review-g3522152-d19603368-Reviews-The_Trails_Of_Kampar-Kampar_Kampar_District_Perak.html,None,None,None,None,None,None,None,None
28,Kampar Sakura 1,0.0,"62, Jalan Mahsuri 12",Malaysia,31900,Kampar,https://www.tripadvisor.com.my/Hotel_Review-g3522152-d20975448-Reviews-Kampar_Sakura_1-Kampar_Kampar_District_Perak.html,None,None,None,None,None,None,None,None
29,KU3 Hotel,3.0,No. 58 Jalan Stesen,Malaysia,35000,Tapah,https://www.tripadvisor.com.my/Hotel_Review-g795950-d17612157-Reviews-KU3_Hotel-Tapah_Batang_Padang_District_Perak.html,damas1946,"Shah Alam, Malaysia",73,39,"Located in the central area of Tapah town, this hotel is rather small but serves the basic needs of guests requiring accommodation while in town. Being fairly new, the hotel looks good and provides rooms that are small but have most of the necessary facilities. There is no breakfast provided but it is easily available from several restaurants nearby.Overall it is a fairly comfortable hotel, cheap and convenient.",Nov 2019,October 2019,None
30,OYO 44022 Kampar Times Inn Hotel,3.5,"No 11&12, Jalan Siswa",Malaysia,31900,Kampar,https://www.tripadvisor.com.my/Hotel_Review-g3522152-d6437687-Reviews-OYO_44022_Kampar_Times_Inn_Hotel-Kampar_Kampar_District_Perak.html,Winston Chuah,"Subang Jaya, Malaysia",266,66,"First, set your expectation straight, the names say it all, it's called Kampar Times ""Inn"" Hotel. So don't expect any services from a 2,3,4 or 5-star hotel. This is budget accommodation - no breakfast, no room service, no bar/lounge, etc.If you get past that, the rooms are actually nice and moderately clean. It has hot showers and free wi-fi. If you're a family of 4, the rooms will not be adequate to fit all of you as in my case, so I ended up booking 2 rooms which are ok considering the price I paid. Location wise, its situation along the main road heading towards Kampar (if you're from Gopeng) about 3KM from Kampar city center.",Feb 2018,February 2018,Families
31,OYO 44022 Kampar Times Inn Hotel,3.5,"No 11&12, Jalan Siswa",Malaysia,31900,Kampar,https://www.tripadvisor.com.my/Hotel_Review-g3522152-d6437687-Reviews-OYO_44022_Kampar_Times_Inn_Hotel-Kampar_Kampar_District_Perak.html,Richard M,"Maidstone, United Kingdom",48,27,"Located on the outskirts of Kampar near Tesco shopping mall where there are plenty of cheap places to eat.This hotel is a basic budget hotel which is clean & comfortable. The owners are not particularly friendly , requiring payment for anything extra ( e.g extra pillow ).",Nov 2015,October 2015,Couples
32,OYO 44022 Kampar Times Inn Hotel,3.5,"No 11&12, Jalan Siswa",Malaysia,31900,Kampar,https://www.tripadvisor.com.my/Hotel_Review-g3522152-d6437687-Reviews-OYO_44022_Kampar_Times_Inn_Hotel-Kampar_Kampar_District_Perak.html,izzatul I,malaysia,39,10,"here, it is good and comfortable. im came with my friend. it is near the shopping mall (tesco, giant) and also variety of food. room quite cosy if you choose 2 queen beds. so large, but if only a queen and a single bed, its a little bit narrow. iron, kettle, wifi and towel provided.",May 2015,May 2015,Business
33,OYO 44022 Kampar Times Inn Hotel,3.5,"No 11&12, Jalan Siswa",Malaysia,31900,Kampar,https://www.tripadvisor.com.my/Hotel_Review-g3522152-d6437687-Reviews-OYO_44022_Kampar_Times_Inn_Hotel-Kampar_Kampar_District_Perak.html,Veepy,"Bengaluru, India",363,233,"Arguably one of the best and compact bnbs in kampar. Modestly priced, the rooms are spacious and comfortable and the service is very friendly. The university is barely 10 minutes away and there are several eating joints nearby.",Dec 2014,December 2014,Friends
34,OYO 44022 Kampar Times Inn Hotel,3.5,"No 11&12, Jalan Siswa",Malaysia,31900,Kampar,https://www.tripadvisor.com.my/Hotel_Review-g3522152-d6437687-Reviews-OYO_44022_Kampar_Times_Inn_Hotel-Kampar_Kampar_District_Perak.html,Highadventurer,"Singapore, Singapore","4,549",657,"Foremost this is a budget hotel so don t expect even a 2 star rating. However fret not as all you need a clean room, hot shower and minimum fuss. The ceramic tile floor is clean n please remove your shoes in your room as every one in Asia would do so in their own house. If you r a westerner not used to walking barefoot please bring a pair of bedroom slippers.There is no bathtub or shower screen as such so you will have a wet bathroom floor as with most older Asian homes without glass screens.There is a free bottle of water but you can buy soft drinks up front at reception.If there were any thing that leaves me with a good impression it s the receptionist  comments 'my boss insist on cleanliness'Any dampeners ?rooms upstair facing greenery and main trunk road will be noiser. other rooms you might not get a window! at night if there were loads of guests you will hear noises as the room is not so soundproof.",Jul 2015,July 2015,Solo
35,OYO 44022 Kampar Times Inn Hotel,3.5,"No 11&12, Jalan Siswa",Malaysia,31900,Kampar,https://www.tripadvisor.com.my/Hotel_Review-g3522152-d6437687-Reviews-OYO_44022_Kampar_Times_Inn_Hotel-Kampar_Kampar_District_Perak.html,Nabila Z,No Country,1,1,"Need a place for a month for works...so I decide to stayed here...located near to tesco kampar, only 15min from exit Gopeng. Room service 👍👍👍...I'm stayed at standard twin bed...near to UTAR and Bandar Baru Kampar...it's affordable to me and my patner...",Nov 2014,November 2014,Business
36,LF Hotel Tapah,4.5,110 Jalan Bukit Baldwin Bukit Baldwin Business Center,Malaysia,35000,Tapah,https://www.tripadvisor.com.my/Hotel_Review-g795950-d10754441-Reviews-LF_Hotel_Tapah-Tapah_Batang_Padang_District_Perak.html,Ken Sheng W,"Kuala Lumpur, Malaysia",369,40,"- Stayed for one night- Spacious Family Room with Two Queen Bed- Room is clean and tidy- Basic amenities such as hair dryer, TV, water heater, shampoo and shower gel is available- Near to Hypermarket- Malay Food Stall opposite the hotel",Aug 2016,None,Families
37,LF Hotel Tapah,4.5,110 Jalan Bukit Baldwin Bukit Baldwin Business Center,Malaysia,35000,Tapah,https://www.tripadvisor.com.my/Hotel_Review-g795950-d10754441-Reviews-LF_Hotel_Tapah-Tapah_Batang_Padang_District_Perak.html,masterqueen89,Malaysia,21,25,"This is a not so budget hotel i guess. Pro : there is basic toiletries provided, towel, mineral water, heater, hair dryer, kiblat arrow for muslim, lift, have restaurant, supermarket, fried chicken shop, and a lot of other shop nearby it. Night time you can find yong tau foo and burger truck nearby the hotel, free 1st hour parking coupon from hotel, there is basic astro channel (prima, tv1, tv2, tv3, ntv7), iron provided at the end of the levelCons : the aircond take quite some time to cool, paid parking area using coupon (can buy from the receptionist), no instant tea/coffee provided (but youcan just go to the RM2 supermarket in front of it only to buy), a lot of birds flying (please avoid park your car exactly under the electrical cable if you don’t want to see the bird left ‘something’ on your car), the toilet door quite small but the toilet area is ok and clean",Dec 2017,None,Couples
38,LF Hotel Tapah,4.5,110 Jalan Bukit Baldwin Bukit Baldwin Business Center,Malaysia,35000,Tapah,https://www.tripadvisor.com.my/Hotel_Review-g795950-d10754441-Reviews-LF_Hotel_Tapah-Tapah_Batang_Padang_District_Perak.html,mrbadsyam,"Cyberjaya, Malaysia",282,26,"Bring my family for outstation. Stayed at clean spacious practical and affordable family room with 2 queen size beds. Good service. Worth for the money for short stay. Overall recommended. By the way, tv channels should be improved.",Sep 2019,None,Business
39,LF Hotel Tapah,4.5,110 Jalan Bukit Baldwin Bukit Baldwin Business Center,Malaysia,35000,Tapah,https://www.tripadvisor.com.my/Hotel_Review-g795950-d10754441-Reviews-LF_Hotel_Tapah-Tapah_Batang_Padang_District_Perak.html,Hazel,"Kuala Lumpur, Malaysia",18,9,"the reception was friendly, new hotel, clean and comfortable bed. I've stayed here twice - the family room and also the deluxe room. For family room, there are mini fridge and free cup noodle. Overall, I am satisfied with the hotel.",Aug 2019,None,None
40,LF Hotel Tapah,4.5,110 Jalan Bukit Baldwin Bukit Baldwin Business Center,Malaysia,35000,Tapah,https://www.tripadvisor.com.my/Hotel_Review-g795950-d10754441-Reviews-LF_Hotel_Tapah-Tapah_Batang_Padang_District_Perak.html,Thenna,"Kuala Lumpur, Malaysia",3,0,"This hotel is actually very good for a single/solo traveler, it’s quite cheap and worth for money. Did i forget to mention it is near the town center of Tapah itself. If u need some KFC, yes you can walk about 7mins. Parking is no issue at this hotel, except that it is a public parking by local authority. For single room, you won’t get cupboard but they do have long dressing counter. (Great plus for females). I think it’s value for money & comfort.",Mar 2019,March 2019,None
41,Sahom Valley - Agro & Eco Resort,3.5,Lot 228800 Jalan Sahom,Malaysia,31900,Kampar,https://www.tripadvisor.com.my/Hotel_Review-g3522152-d9728240-Reviews-Sahom_Valley_Agro_Eco_Resort-Kampar_Kampar_District_Perak.html,Venture30125785235,No Country,2,3,It is shocking appearance to us when we open our room's door. It's facilities is nothing can as basic as it is. It didn't worth to its price. The water of the pool outside the room not clean by eyes sight. I could only generously give 1 star.,Nov 2018,November 2018,Families
42,Sahom Valley - Agro & Eco Resort,3.5,Lot 228800 Jalan Sahom,Malaysia,31900,Kampar,https://www.tripadvisor.com.my/Hotel_Review-g3522152-d9728240-Reviews-Sahom_Valley_Agro_Eco_Resort-Kampar_Kampar_District_Perak.html,CikLi H,"Kuala Lumpur, Malaysia",69,3,"Not far away from KL. Only 2 hours plus driving from KL. Got few type of resort that you can choose. Toilet at the restaurant need an upgrade. Room wise is clean and nice. Lot of activities such as petting zoo, canoeing, ATV & many more. Food is OK. Hope the owner can upgrade and maintain this place",Dec 2019,December 2019,Friends
43,Sahom Valley - Agro & Eco Resort,3.5,Lot 228800 Jalan Sahom,Malaysia,31900,Kampar,https://www.tripadvisor.com.my/Hotel_Review-g3522152-d9728240-Reviews-Sahom_Valley_Agro_Eco_Resort-Kampar_Kampar_District_Perak.html,ngsiewcheng,"Kuala Lumpur, Malaysia",193,195,"I traveled with my group of 35 students to this resort, from co-ordination, till the travel date, the staff is very accommodating and provide as much infor as they can.  We were late for the abseiling activities, but they still welcome us with smiling face, Upon arrival resort, we were welcome by yummy lunch, they even keep on replenish all the dishes for us, they are very helpful.  Room is good, we didn't expect super luxury resort, it is basic but clean, very nice surrounding with lake, great morning sunrise view.  Plenty of space for outdoor activities.    highly recommended for any school or corporate team building activities.",Jul 2018,July 2018,Business
44,Sahom Valley - Agro & Eco Resort,3.5,Lot 228800 Jalan Sahom,Malaysia,31900,Kampar,https://www.tripadvisor.com.my/Hotel_Review-g3522152-d9728240-Reviews-Sahom_Valley_Agro_Eco_Resort-Kampar_Kampar_District_Perak.html,DR FAUZIAH A,Singapore,8,9,"Shahom Eco Resort, Kampar, PERAK DARUL RIDZUANStayed at Bamboo Village. Unique as the chalet was built among palm plantation. The chalet uses bamboo as its main building materials coupled with natural river stones cladding. Toilet without roof exposed to natural light - sun & moon. There is river along the ridge of the chalets.Setbacks - the unit needs upgrading due to wear and tear condition. Unsuitable bamboo plank used for its flooring with exposed nails which may hurt if accidentally stepped on it. Quite hot in the day time as the unit has no air cond except 1 unit of fan.Stayed for 2 nites. Towels were not changed. Toiletries and mineral water were not replenished. No room service.The entire chalets in Shahom Eco Resort need upgrading and refurbishment works. Only 1 swimming pool is decent to be used at Riverside Village and another pool at Heritage Village not in good condition.",Sep 2018,September 2018,Families
45,Sahom Valley - Agro & Eco Resort,3.5,Lot 228800 Jalan Sahom,Malaysia,31900,Kampar,https://www.tripadvisor.com.my/Hotel_Review-g3522152-d9728240-Reviews-Sahom_Valley_Agro_Eco_Resort-Kampar_Kampar_District_Perak.html,Jmy Johan,"Belleville, Michigan",228,17,"Went there for Sahom trail and stayed at Embun resort for one night. There was big group of families having their family day there. The trail running was on 1st September but we didn't manage to sleep the night before as the group was having outdoor karaoke. Other than that, a new place to explore nature and outdoor activities.",Dec 2019,August 2019,Families
46,Sahom Valley - Agro & Eco Resort,3.5,Lot 228800 Jalan Sahom,Malaysia,31900,Kampar,https://www.tripadvisor.com.my/Hotel_Review-g3522152-d9728240-Reviews-Sahom_Valley_Agro_Eco_Resort-Kampar_Kampar_District_Perak.html,budi83,No Country,52,3,"Stayed in the Bamboo Village which was nice and cooling. The open toilets did prove to be quite challenging when it rained but fitting of its concept of going back to nature. With a river running through the resort and breathtaking views(especially from the lake/resto area), it's a nice retreat reasonably close to KL.Lata Kijang(waterfall) is also only 15-20 minutes drive away.The food at the resto was also really good!",Nov 2017,November 2017,Families
47,Sahom Valley - Agro & Eco Resort,3.5,Lot 228800 Jalan Sahom,Malaysia,31900,Kampar,https://www.tripadvisor.com.my/Hotel_Review-g3522152-d9728240-Reviews-Sahom_Valley_Agro_Eco_Resort-Kampar_Kampar_District_Perak.html,najwarose,"Perak, Malaysia",4,2,"Sahom Valley Resort is a good place to go with your family. Even though it place surrounds with palm trees, but, that place full with nature as you can see there is river, pond and other. You can do many activities at Sahom Valley such as kayak, fishing, sports and other. The price, I think it is very affordable for family to stay at there. Not to forget, the food they served to us absolutely delicious and you will enjoy their meal. This Sahom Valley will give you opportunity to realaxing and avoid from busy urban city. You will never forget how it's feel to stay at there. Beside that, you can go to Gua Tempurung which is near with Sahom Valley Resort. :)",Oct 2016,May 2016,Families
48,Sahom Valley - Agro & Eco Resort,3.5,Lot 228800 Jalan Sahom,Malaysia,31900,Kampar,https://www.tripadvisor.com.my/Hotel_Review-g3522152-d9728240-Reviews-Sahom_Valley_Agro_Eco_Resort-Kampar_Kampar_District_Perak.html,SarahAdibahKhalid,"Kuala Lumpur, Malaysia",6,5,"Stayed here for 3D2N for our Family Reunion on 6-8 Jan 2016. The place located about 1km from Gua Tempurung (behind it, I think), surrounded with palm tree & lake & river of course.1st night we stayed at Bamboo Village. No air-cond only fan but its OK because its bamboo & in wood so not so hot. Really fascinated unit actually because each room build with decorated bamboo. The room can fit 2 adults & 2 infants. No bed only mattress so really back-to-basic concept. It has open-air attached toilet which is really cool. This unit also has verandah at the back where we can hang around & have a cup of coffee.Activity there: Flying Fox & River Tubing. We got it for free. Thanks to management :)2nd night, we stayed at D'Tasek village. Cement & air-conditioned. Room can occupied max 2 adults with children ++. More comfortable for babies & childrenReally great view & surroundings where u can smell the greens, the fresh-air to your lung.Foods provided was superb! & a lot. Full always when staying there.Overall, this can be BEST place to stay away from the busy city but a bit not-friendly for babies & infants.",Feb 2016,February 2016,Families
